bioguide_id,last_name,first_name,middle_name,suffix,nickname,full_name,birthday,gender,full_state,state,district,geoid,party,url,address,phone,contact_form,rss_url,twitter,facebook,youtube,youtube_id,wikipedia_id
D000598,Davis,Susan,A.,,,Susan A. Davis,4/13/44,F,California,CA,53,0653,Democrat,https://susandavis.house.gov,1214 Longworth House Office Building; Washington DC 20515-0553,202-225-2040,,,RepSusanDavis,RepSusanDavis,RepSusanADavis,UCUni9eg-gXv8pZ2WE_YR0bg,Susan Davis (politician)
E000215,Eshoo,Anna,G.,,,Anna G. Eshoo,12/13/42,F,California,CA,18,0618,Democrat,https://eshoo.house.gov,202 Cannon House Office Building; Washington DC 20515-0518,202-225-8104,,http://eshoo.house.gov/index.php?format=feed&amp;type=rss,RepAnnaEshoo,RepAnnaEshoo,RepAnnaEshoo,UCjRvhco2d59GBgA78IIIaYQ,Anna Eshoo
G000559,Garamendi,John,,,,John Garamendi,1/24/45,M,California,CA,3,0603,Democrat,https://garamendi.house.gov,2368 Rayburn House Office Building; Washington DC 20515-0503,202-225-1880,,http://garamendi.house.gov/rss.xml,RepGaramendi,repgaramendi,garamendiCA10,UCRym1qsO72C39gX6pBu4icg,John Garamendi
L000551,Lee,Barbara,,,,Barbara Lee,7/16/46,F,California,CA,13,0613,Democrat,https://lee.house.gov,2470 Rayburn House Office Building; Washington DC 20515-0513,202-225-2661,,http://lee.house.gov/rss.xml,RepBarbaraLee,RepBarbaraLee,RepLee,UCnRgK2MXAQOUau0JXqseeNA,Barbara Lee
L000397,Lofgren,Zoe,,,,Zoe Lofgren,12/21/47,F,California,CA,19,0619,Democrat,https://lofgren.house.gov,1401 Longworth House Office Building; Washington DC 20515-0519,202-225-3072,,http://lofgren.house.gov/index.php?format=feed&amp;type=rss,RepZoeLofgren,zoelofgren,RepZoeLofgren,UCOaQ79adORFcaTuJZoIFuZQ,Zoe Lofgren
M001163,Matsui,Doris,O.,,,Doris O. Matsui,9/25/44,F,California,CA,6,0606,Democrat,https://matsui.house.gov,2311 Rayburn House Office Building; Washington DC 20515-0506,202-225-7163,,http://matsui.house.gov/index.php?format=feed&amp;type=rss,DorisMatsui,doris.matsui,RepDorisMatsui,UCSqqxVkvskHq3cY2MCbTZsw,Doris Matsui
M001165,McCarthy,Kevin,,,,Kevin McCarthy,1/26/65,M,California,CA,23,0623,Republican,https://kevinmccarthy.house.gov,2468 Rayburn House Office Building; Washington DC 20515-0523,202-225-2915,,http://kevinmccarthy.house.gov/index.php?format=feed&amp;type=rss,GOPLeader,CongressmanKevinMcCarthy,repkevinmccarthy,UCdJUZUFSLJRlUpE-91-6DsA,Kevin McCarthy (California politician)
M001177,McClintock,Tom,,,,Tom McClintock,7/10/56,M,California,CA,4,0604,Republican,https://mcclintock.house.gov,2312 Rayburn House Office Building; Washington DC 20515-0504,202-225-2511,,http://mcclintock.house.gov/atom.xml,RepMcClintock,81125319109,McClintockCA04,UCMh04KC4LfIzKoXh2Xws_pw,Tom McClintock
M001166,McNerney,Jerry,,,,Jerry McNerney,6/18/51,M,California,CA,9,0609,Democrat,https://mcnerney.house.gov,2265 Rayburn House Office Building; Washington DC 20515-0509,202-225-1947,,http://mcnerney.house.gov/rss.xml,RepMcNerney,jerrymcnerney,RepJerryMcNerney,UClUOx6F8GKshxGBUBLkisug,Jerry McNerney
N000179,Napolitano,Grace,F.,,,Grace F. Napolitano,12/4/36,F,California,CA,32,0632,Democrat,https://napolitano.house.gov,1610 Longworth House Office Building; Washington DC 20515-0532,202-225-5256,,http://napolitano.house.gov/rss.xml,GraceNapolitano,RepGraceNapolitano,RepGraceNapolitano,UCPWjmiAIR04oQ8QMoOWcDtA,Grace Napolitano
N000181,Nunes,Devin,G.,,,Devin Nunes,10/1/73,M,California,CA,22,0622,Republican,https://nunes.house.gov,1013 Longworth House Office Building; Washington DC 20515-0522,202-225-2523,,http://nunes.house.gov/news/rss.aspx,RepDevinNunes,,RepDevinNunes,UCtbArL6CmOfFqgmpuRjLp3w,Devin Nunes
P000197,Pelosi,Nancy,,,,Nancy Pelosi,3/26/40,F,California,CA,12,0612,Democrat,https://pelosi.house.gov,1236 Longworth House Office Building; Washington DC 20515-0512,202-225-4965,,http://pelosi.house.gov/atom.xml,SpeakerPelosi,NancyPelosi,nancypelosi,UCxPeEcH0xaCK9nBK98EFhDg,Nancy Pelosi
R000486,Roybal-Allard,Lucille,,,,Lucille Roybal-Allard,6/12/41,F,California,CA,40,0640,Democrat,https://roybal-allard.house.gov,2083 Rayburn House Office Building; Washington DC 20515-0540,202-225-1766,,http://roybal-allard.house.gov/news/rss.aspx,RepRoybalAllard,RepRoybalAllard,RepRoybalAllard,UC_T_RXWeJ-smmpjdNLOaMcg,Lucille Roybal-Allard
S001150,Schiff,Adam,B.,,,Adam B. Schiff,6/22/60,M,California,CA,28,0628,Democrat,https://schiff.house.gov,2269 Rayburn House Office Building; Washington DC 20515-0528,202-225-4176,,http://schiff.house.gov/common/rss/?rss=49,RepAdamSchiff,RepAdamSchiff,adamschiff,UCadiUi-KZoFk1K5ZDsluLcA,Adam Schiff
S000344,Sherman,Brad,J.,,,Brad Sherman,10/24/54,M,California,CA,30,0630,Democrat,https://sherman.house.gov,2181 Rayburn House Office Building; Washington DC 20515-0530,202-225-5911,,http://bradsherman.house.gov/press-releases-and-columns/rss.shtml,BradSherman,63158229861,shermanca27,UCPisrz6-SLwVy2l9Mcy8kug,Brad Sherman
S001175,Speier,Jackie,,,,Jackie Speier,5/14/50,F,California,CA,14,0614,Democrat,https://speier.house.gov,2465 Rayburn House Office Building; Washington DC 20515-0514,202-225-3531,,http://speier.house.gov/index.php?format=feed&amp;type=rss,RepSpeier,JackieSpeier,jackiespeierca12,UCevmyTb0HSO8irVaR2gYyoA,Jackie Speier
S001156,Sánchez,Linda,T.,,,Linda T. S�nchez,1/28/69,F,California,CA,38,0638,Democrat,https://lindasanchez.house.gov,2329 Rayburn House Office Building; Washington DC 20515-0538,202-225-6676,,http://lindasanchez.house.gov/index.php?format=feed&amp;type=rss,RepLindaSanchez,CongresswomanLindaSanchez,LindaTSanchez,UCu1K6uHxjMgj2mvzM7O9-ow,Linda Sánchez
T000460,Thompson,Mike,Michael,,,Mike Thompson,1/24/51,M,California,CA,5,0605,Democrat,https://mikethompson.house.gov,406 Cannon House Office Building; Washington DC 20515-0505,202-225-3311,,http://mikethompson.house.gov/news/rss.aspx,RepThompson,RepMikeThompson,CongressmanMThompson,UC6pGbtqHZYZmScFGSz5bbdg,Mike Thompson (California politician)
W000187,Waters,Maxine,,,,Maxine Waters,8/15/38,F,California,CA,43,0643,Democrat,https://waters.house.gov,2221 Rayburn House Office Building; Washington DC 20515-0543,202-225-2201,,http://waters.house.gov/news/rss.aspx,RepMaxineWaters,MaxineWaters,MaxineWaters,UCOQ2js1VYFlo74n7Ns8WsLQ,Maxine Waters
L000578,LaMalfa,Doug,,,,Doug LaMalfa,7/2/60,M,California,CA,1,0601,Republican,https://lamalfa.house.gov,322 Cannon House Office Building; Washington DC 20515-0501,202-225-3076,,http://lamalfa.house.gov/rss.xml,RepLaMalfa,RepLaMalfa,RepLaMalfa,UCUzz1XDn862fxirervSB2Yw,Doug LaMalfa
H001068,Huffman,Jared,,,,Jared Huffman,2/18/64,M,California,CA,2,0602,Democrat,https://huffman.house.gov,1527 Longworth House Office Building; Washington DC 20515-0502,202-225-5161,,http://huffman.house.gov/rss.xml,RepHuffman,RepHuffman,rephuffman,UCJU6SP1ppp1ZhSiqZLiFgDA,Jared Huffman
B001287,Bera,Ami,,,,Ami Bera,3/2/65,M,California,CA,7,0607,Democrat,https://bera.house.gov,1727 Longworth House Office Building; Washington DC 20515-0507,202-225-5716,,http://bera.house.gov/rss.xml,RepBera,RepAmiBera,repamibera,UClJCTCo53Zk6b4kUL-bbdzg,Ami Bera
C001094,Cook,Paul,,,,Paul Cook,3/3/43,M,California,CA,8,0608,Republican,https://cook.house.gov,1027 Longworth House Office Building; Washington DC 20515-0508,202-225-5861,,http://cook.house.gov/rss.xml,RepPaulCook,RepPaulCook,RepPaulCook,UCqK--hf5cuvg7BR_oisyRiA,Paul Cook (politician)
S001193,Swalwell,Eric,,,,Eric Swalwell,11/16/80,M,California,CA,15,0615,Democrat,https://swalwell.house.gov,407 Cannon House Office Building; Washington DC 20515-0515,202-225-5065,,,RepSwalwell,CongressmanEricSwalwell,ericswalwell,UCKvwsFNGD4sDkE_9g-2ft0w,Eric Swalwell
B001285,Brownley,Julia,,,,Julia Brownley,8/28/52,F,California,CA,26,0626,Democrat,https://juliabrownley.house.gov,2262 Rayburn House Office Building; Washington DC 20515-0526,202-225-5811,,http://juliabrownley.house.gov/rss.xml,RepBrownley,RepJuliaBrownley,RepJuliaBrownley,UCFrC4Ouk5R6xQztS9PZin_A,Julia Brownley
C001097,Cárdenas,Tony,,,,Tony Cárdenas,3/31/63,M,California,CA,29,0629,Democrat,https://cardenas.house.gov,2438 Rayburn House Office Building; Washington DC 20515-0529,202-225-6131,,http://cardenas.house.gov/rss.xml,RepCardenas,repcardenas,repcardenas,UCm6ug1-yvYGL0F6DvYxfFBA,Tony Cárdenas
R000599,Ruiz,Raul,,,,Raul Ruiz,8/25/72,M,California,CA,36,0636,Democrat,https://ruiz.house.gov,2342 Rayburn House Office Building; Washington DC 20515-0536,202-225-5330,,http://ruiz.house.gov/rss.xml,CongressmanRuiz,CongressmanRaulRuizMD,repraulruiz,UCSDk-cyNPCo1iy6rweSPmBw,Raul Ruiz (politician)
T000472,Takano,Mark,,,,Mark Takano,12/10/60,M,California,CA,41,0641,Democrat,https://takano.house.gov,420 Cannon House Office Building; Washington DC 20515-0541,202-225-2305,,http://takano.house.gov/rss.xml,RepMarkTakano,RepMarkTakano,RepMarkTakano,UCJg4F1irmSFeKoXZBaZbX2w,Mark Takano
L000579,Lowenthal,Alan,S.,,,Alan S. Lowenthal,3/8/41,M,California,CA,47,0647,Democrat,https://lowenthal.house.gov,108 Cannon House Office Building; Washington DC 20515-0547,202-225-7924,,http://lowenthal.house.gov/news/rss.aspx,RepLowenthal,RepLowenthal,RepLowenthal,UC-GgROtn5Hxm1H9a6qvy_Wg,Alan Lowenthal
V000130,Vargas,Juan,,,,Juan Vargas,3/7/61,M,California,CA,51,0651,Democrat,https://vargas.house.gov,2244 Rayburn House Office Building; Washington DC 20515-0551,202-225-8045,,http://vargas.house.gov/rss.xml,RepJuanVargas,RepJuanVargas,RepJuanVargas,UCpMthf8y7bEMJH_td0dznRQ,Juan Vargas
P000608,Peters,Scott,H.,,,Scott H. Peters,6/17/58,M,California,CA,52,0652,Democrat,https://scottpeters.house.gov,2338 Rayburn House Office Building; Washington DC 20515-0552,202-225-0508,,http://scottpeters.house.gov/rss.xml,RepScottPeters,RepScottPeters,,UCQK77QJxW7Xr-S3zqeMd-0g,Scott Peters (politician)
D000623,DeSaulnier,Mark,,,,Mark DeSaulnier,3/31/52,M,California,CA,11,0611,Democrat,https://desaulnier.house.gov,503 Cannon House Office Building; Washington DC 20515-0511,202-225-2095,,,RepDeSaulnier,RepMarkDeSaulnier,,,Mark DeSaulnier
A000371,Aguilar,Pete,,,,Pete Aguilar,6/19/79,M,California,CA,31,0631,Democrat,https://aguilar.house.gov,109 Cannon House Office Building; Washington DC 20515-0531,202-225-3201,,,reppeteaguilar,reppeteaguilar,,UCxwbFLOlKDsXrwizV5jah7g,Pete Aguilar
L000582,Lieu,Ted,,,,Ted Lieu,3/29/69,M,California,CA,33,0633,Democrat,https://lieu.house.gov,403 Cannon House Office Building; Washington DC 20515-0533,202-225-3976,,,RepTedLieu,RepTedLieu,,UC9qcJxTqfDNBnVul1IojlFg,Ted Lieu
T000474,Torres,Norma,,,,Norma J. Torres,4/4/65,F,California,CA,35,0635,Democrat,https://torres.house.gov,2444 Rayburn House Office Building; Washington DC 20515-0535,202-225-6161,,,NormaJTorres,RepNormaTorres,,UCvWY4qKP6--o3pIJY7hhKDg,Norma Torres
K000389,Khanna,Ro,,,,Ro Khanna,9/13/76,M,California,CA,17,0617,Democrat,https://khanna.house.gov,221 Cannon House Office Building; Washington DC 20515-0517,202-225-2631,,,RepRoKhanna,RepRoKhanna,,UCr4KOYv1o1oEQhy1jhhm3pQ,Ro Khanna
P000613,Panetta,Jimmy,,,,Jimmy Panetta,10/1/69,M,California,CA,20,0620,Democrat,https://panetta.house.gov,212 Cannon House Office Building; Washington DC 20515-0520,202-225-2861,,,RepJimmyPanetta,RepJimmyPanetta,,UCmw-aERG51C96edMDPN7fXQ,Jimmy Panetta
C001112,Carbajal,Salud,,,,Salud O. Carbajal,11/18/64,M,California,CA,24,0624,Democrat,https://carbajal.house.gov,1431 Longworth House Office Building; Washington DC 20515-0524,202-225-3601,,,RepCarbajal,repsaludcarbajal,repcarbajal,,Salud Carbajal
B001300,Barragán,Nanette,,,,Nanette Diaz Barrag�n,9/15/76,F,California,CA,44,0644,Democrat,https://barragan.house.gov,1030 Longworth House Office Building; Washington DC 20515-0544,202-225-8220,,,RepBarragan,CongresswomanBarragan,,,Nanette Barragán
C001110,Correa,J.,Luis,,,J. Luis Correa,1/24/58,M,California,CA,46,0646,Democrat,https://correa.house.gov,1039 Longworth House Office Building; Washington DC 20515-0546,202-225-2965,,,reploucorrea,RepLouCorrea,,UCIKJJp4QJIDjnjodc23qKkw,Lou Correa
G000585,Gomez,Jimmy,,,,Jimmy Gomez,11/25/74,M,California,CA,34,0634,Democrat,https://gomez.house.gov,1530 Longworth House Office Building; Washington DC 20515-0534,202-225-6235,,,RepJimmyGomez,RepJimmyGomez,,,Jimmy Gomez
H001090,Harder,Josh,,,,Josh Harder,8/1/86,M,California,CA,10,0610,Democrat,https://harder.house.gov,131 Cannon House Office Building; Washington DC 20515-0510,202-225-4540,,,RepJoshHarder,,,,Josh Harder
C001124,Cox,TJ,,,,TJ Cox,7/18/63,M,California,CA,21,0621,Democrat,https://cox.house.gov,1728 Longworth House Office Building; Washington DC 20515-0521,202-225-4695,,,RepTjCox,,,,TJ Cox
C001123,Cisneros,Gilbert,Ray,,,"Gilbert Ray Cisneros, Jr.",2/12/71,M,California,CA,39,0639,Democrat,https://cisneros.house.gov,431 Cannon House Office Building; Washington DC 20515-0539,202-225-4111,,,RepGilCisneros,,,,Gil Cisneros
P000618,Porter,Katie,,,,Katie Porter,1/3/74,F,California,CA,45,0645,Democrat,https://porter.house.gov,1117 Longworth House Office Building; Washington DC 20515-0545,202-225-5611,,,RepKatiePorter,,,,Katie Porter
R000616,Rouda,Harley,,,,Harley Rouda,12/10/61,M,California,CA,48,0648,Democrat,https://rouda.house.gov,2300 Rayburn House Office Building; Washington DC 20515-0548,202-225-2415,,,RepHarley,,,,Harley Rouda
L000593,Levin,Mike,,,,Mike Levin,10/28/78,M,California,CA,49,0649,Democrat,https://mikelevin.house.gov,1626 Longworth House Office Building; Washington DC 20515-0549,202-225-3906,,,RepMikeLevin,,,,Mike Levin
D000197,DeGette,Diana,L.,,,Diana DeGette,7/29/57,F,Colorado,CO,1,0801,Democrat,https://degette.house.gov,2111 Rayburn House Office Building; Washington DC 20515-0601,202-225-4431,,http://degette.house.gov/index.php?option=com_ninjarsssyndicator&amp;feed_id=1&amp;format=raw,RepDianaDeGette,DianaDeGette,RepDianaDeGette,UCWFQCRTHwsHg9P1Hf-EQtew,Diana DeGette
L000564,Lamborn,Doug,,,,Doug Lamborn,5/24/54,M,Colorado,CO,5,0805,Republican,https://lamborn.house.gov,2371 Rayburn House Office Building; Washington DC 20515-0605,202-225-4422,,http://lamborn.house.gov/news-rss-graphic/news-rss-graphic/,RepDLamborn,CongressmanDougLamborn,CongressmanLamborn,UCaYsGYMniq4nwBBMKFIwsow,Doug Lamborn
P000593,Perlmutter,Ed,,,,Ed Perlmutter,5/1/53,M,Colorado,CO,7,0807,Democrat,https://perlmutter.house.gov,1226 Longworth House Office Building; Washington DC 20515-0607,202-225-2645,,http://perlmutter.house.gov/index.php?format=feed&amp;type=rss,RepPerlmutter,RepPerlmutter,RepPerlmutter,UCJXuMAzxngpEvDdvlE6wS5g,Ed Perlmutter
T000470,Tipton,Scott,R.,,,Scott R. Tipton,11/9/56,M,Colorado,CO,3,0803,Republican,https://tipton.house.gov,218 Cannon House Office Building; Washington DC 20515-0603,202-225-4761,,http://tipton.house.gov/rss.xml,RepTipton,CongressmanScottTipton,RepScottTipton,UCh9ssh1dvzpr1HOWaFm8rcg,Scott Tipton
B001297,Buck,Ken,,,,Ken Buck,2/16/59,M,Colorado,CO,4,0804,Republican,https://buck.house.gov,2455 Rayburn House Office Building; Washington DC 20515-0604,202-225-4676,,,RepKenBuck,repkenbuck,,UCHK7Wcwij7NoxXGTeSHUWzg,Ken Buck
N000191,Neguse,Joe,,,,Joe Neguse,5/13/84,M,Colorado,CO,2,0802,Democrat,https://neguse.house.gov,1419 Longworth House Office Building; Washington DC 20515-0602,202-225-2161,,,RepJoeNeguse,,,,Joe Neguse
C001121,Crow,Jason,,,,Jason Crow,3/15/79,M,Colorado,CO,6,0806,Democrat,https://crow.house.gov,1229 Longworth House Office Building; Washington DC 20515-0606,202-225-7882,,,RepJasonCrow,,,,Jason Crow
C001069,Courtney,Joe,,,,Joe Courtney,4/6/53,M,Connecticut,CT,2,0902,Democrat,https://courtney.house.gov,2332 Rayburn House Office Building; Washington DC 20515-0702,202-225-2076,,http://courtney.house.gov/index.php?format=feed&amp;type=rss,RepJoeCourtney,joecourtney,repcourtney,UCGVIfe1T2hO1Lx7ap5Wkv1w,Joe Courtney (politician)
D000216,DeLauro,Rosa,L.,,,Rosa L. DeLauro,3/2/43,F,Connecticut,CT,3,0903,Democrat,https://delauro.house.gov,2413 Rayburn House Office Building; Washington DC 20515-0703,202-225-3661,,http://delauro.house.gov/index.php?format=feed&amp;type=rss,RosaDeLauro,CongresswomanRosaDeLauro,rosadelauro,UC9ROfGBm7kSLCEDYwFF6McQ,Rosa DeLauro
H001047,Himes,James,A.,,,James A. Himes,7/5/66,M,Connecticut,CT,4,0904,Democrat,https://himes.house.gov,1227 Longworth House Office Building; Washington DC 20515-0704,202-225-5541,,http://himes.house.gov/rss.xml,JAHimes,CongressmanJimHimes,congressmanhimes,UCCeB6czh6nhCHxOMCk_V4yA,Jim Himes
L000557,Larson,John,B.,,,John B. Larson,7/22/48,M,Connecticut,CT,1,0901,Democrat,https://larson.house.gov,1501 Longworth House Office Building; Washington DC 20515-0701,202-225-2265,,http://www.larson.house.gov/index.php?format=feed&amp;type=rss,RepJohnLarson,RepJohnLarson,RepJohnLarson,UCGPsvFF-9WfpdRSCcCrPLiQ,John B. Larson
H001081,Hayes,Jahana,,,,Jahana Hayes,3/8/73,F,Connecticut,CT,5,0905,Democrat,https://hayes.house.gov,1415 Longworth House Office Building; Washington DC 20515-0705,202-225-4476,,,RepJahanaHayes,,,,Jahana Hayes
B001303,Blunt Rochester,Lisa,,,,Lisa Blunt Rochester,2/10/62,F,Delaware,DE,0,1000,Democrat,https://bluntrochester.house.gov,1519 Longworth House Office Building; Washington DC 20515-0800,202-225-4165,,,RepLBR,Rep.BluntRochester,,,Lisa Blunt Rochester
N000147,Norton,Eleanor,Holmes,,,Eleanor Holmes Norton,6/13/37,F,District Of Columbia,DC,0,1100,Democrat,https://norton.house.gov,2136 Rayburn House Office Building; Washington DC 20515-5101,202-225-8050,,http://norton.house.gov/index.php?format=feed&amp;type=rss,EleanorNorton,CongresswomanNorton,EleanorHNorton,UChRrAXUGylfxJjbquC6aUjQ,Eleanor Holmes Norton
